ISO,COD-AB URL,COD-AB level,COD-AB contributor,COD-AB ADM1 units,COD-AB ADM2 units,COD-AB ADM3 units,COD-AB ADM4 units,COD-AB services,COD-PS URL,COD-PS level,COD-PS contributor,COD-PS services,COD-EM URL,COD-EM level,COD-EM services
TON,https://data.humdata.org/dataset/cod-ab-ton,cod-standard,OCHA Office of the Pacific Islands,5,23,166,,False,https://data.humdata.org/dataset/cod-ps-ton,cod-enhanced,UNFPA,True,,,
TTO,https://data.humdata.org/dataset/cod-ab-tto,cod-standard,OCHA Field Information Services Section (FISS),15,,,,False,https://data.humdata.org/dataset/cod-ps-tto,cod-standard,OCHA Latin America and the Caribbean (ROLAC),True,,,
TUN,https://data.humdata.org/dataset/cod-ab-tun,cod-enhanced,OCHA Field Information Services Section (FISS),6,24,264,2084,True,https://data.humdata.org/dataset/cod-ps-tun,cod-standard,UNFPA,False,https://data.humdata.org/dataset/cod-em-tun,cod-enhanced,True
TUR,https://data.humdata.org/dataset/cod-ab-tur,cod-standard,Regional IM Working Group - Europe,81,973,49662,43412,True,https://data.humdata.org/dataset/cod-ps-tur,cod-enhanced,UNFPA,True,,,
TCA,https://data.humdata.org/dataset/cod-ab-tca,cod-standard,OCHA Field Information Services Section (FISS),6,30,,,False,https://data.humdata.org/dataset/cod-ps-tca,cod-enhanced,UNFPA,True,,,
UGA,https://data.humdata.org/dataset/cod-ab-uga,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),4,135,208,1520,True,https://data.humdata.org/dataset/cod-ps-uga,cod-enhanced,UNFPA,True,,,
UKR,https://data.humdata.org/dataset/cod-ab-ukr,cod-enhanced,OCHA Field Information Services Section (FISS),27,139,1769,29707,False,https://data.humdata.org/dataset/cod-ps-ukr,,UNFPA,True,https://data.humdata.org/dataset/cod-em-ukr,cod-enhanced,False
ARE,https://data.humdata.org/dataset/cod-ab-are,cod-enhanced,OCHA Field Information Services Section (FISS),7,,,,False,,,,,https://data.humdata.org/dataset/cod-em-are,cod-enhanced,False
URY,https://data.humdata.org/dataset/cod-ab-ury,cod-standard,OCHA Field Information Services Section (FISS),19,204,,,False,https://data.humdata.org/dataset/cod-ps-ury,cod-enhanced,UNFPA,True,,,
UZB,https://data.humdata.org/dataset/cod-ab-uzb,cod-standard,OCHA Middle East and North Africa (ROMENA),14,199,,,False,https://data.humdata.org/dataset/cod-ps-uzb,cod-standard,OCHA Field Information Services Section (FISS),True,,,
VUT,https://data.humdata.org/dataset/cod-ab-vut,cod-enhanced,OCHA Office of the Pacific Islands,6,66,,,True,https://data.humdata.org/dataset/cod-ps-vut,cod-enhanced,UNFPA,True,,,
VEN,https://data.humdata.org/dataset/cod-ab-ven,cod-enhanced,OCHA Venezuela,25,335,1134,,True,https://data.humdata.org/dataset/cod-ps-ven,cod-standard,OCHA Venezuela,True,,,
VNM,https://data.humdata.org/dataset/cod-ab-vnm,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),63,708,,,True,https://data.humdata.org/dataset/cod-ps-vnm,cod-enhanced,UNFPA,True,,,
VGB,https://data.humdata.org/dataset/cod-ab-vgb,cod-standard,OCHA Field Information Services Section (FISS),6,,,,False,https://data.humdata.org/dataset/cod-ps-vgb,cod-enhanced,UNFPA,True,,,
ESH,https://data.humdata.org/dataset/cod-ab-esh,cod-enhanced,OCHA Middle East and North Africa (ROMENA),4,,,,True,,,,,https://data.humdata.org/dataset/cod-em-esh,,False
YEM,https://data.humdata.org/dataset/cod-ab-yem,cod-enhanced,OCHA Yemen,22,335,2149,,True,,,,,,,
ZMB,https://data.humdata.org/dataset/cod-ab-zmb,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),10,116,156,1853,True,https://data.humdata.org/dataset/cod-ps-zmb,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-zmb,cod-enhanced,True
ZWE,https://data.humdata.org/dataset/cod-ab-zwe,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),10,91,1961,,True,https://data.humdata.org/dataset/cod-ps-zwe,cod-enhanced,UNFPA,True,,,
VIR,https://data.humdata.org/dataset/cod-ab-vir,cod-standard,OCHA Field Information Services Section (FISS),3,20,,,False,https://data.humdata.org/dataset/cod-ps-vir,cod-standard,OCHA Latin America and the Caribbean (ROLAC),True,,,
